Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
214,1.94259267045179,1.52306762375144,3.11501935376603,5.93229759342294,6.38548148249666,0.893982798419023,0.0188882279380623,0.000999307764470099,0.0218845959828812,0.0627649780082199
215,1.98729100609527,1.88314266299872,3.69868853709552,5.49968695539084,5.94762097933264,0.744356344492544,0.0173353362616373,0.00225004108016586,0.0172580191055009,0.212583156570851
216,1.89270106115586,2.13048970960864,3.32268307384373,5.48796967190565,6.0581430072909,0.659534261618139,0.0312494861218567,0.00127024707081258,0.023020212941498,0.287707317948805
217,1.54321007420006,0.740637592051171,1.02409500029894,5.46904487183151,6.25785431085892,0.827956352112697,0.0199933880696927,0.000957251603320163,0.0358537753992351,0.10848708668984
218,0.95878237644153,0.77934915861525,1.09381421156729,2.92393776640264,3.71764140957532,0.533218144360005,0.252583923642713,0,0.0928414039326716,0.149725356006975
219,0.724395071142677,0.64448432164435,0.895367494150083,2.2810933660672,2.84716031645128,0.172318848965713,0.525910230349091,0,0.16242426866985,0.162379796893638
220,1.6799517692357,0.923019593656679,1.2709876640829,5.43687536787283,5.87116204929884,0.883475231214387,0.0204780863161242,0,0.0304712946399304,0.0701810343383636
221,1.09531406517185,0.665789057635826,0.924482153694185,3.28714049519396,5.22438763775622,0.645441897014056,0.21097154606367,0,0.0682486158706543,0.0829782262536942
222,1.56343719156704,0.699133367534543,0.964168240140973,6.04770439415409,6.51713844980972,0.833652528736824,0.101153874984757,0,0.0333196513985441,0.0350170141965265
223,2.99013158298913,1.59628822577644,6.11399596574176,7.34589193765049,7.73736744550007,0.951265650232999,0.0206103133714037,0.000410532983423342,0.00965098090600544,0.0130029222292857
224,2.9953705681508,1.58326438657663,6.16445208490359,7.49179186875304,7.83241344679406,0.948928268380177,0.0217632071025988,0.000453388868913274,0.00996835545460202,0.0170473585816587
225,1.89310853558182,1.21217278510374,2.87485585096444,5.70161504314573,6.14369186536508,0.882537539209241,0.0210605151831082,0.000775015141839261,0.0251099855018544,0.0669447053290971
226,2.10112619398374,1.44458287477546,3.63404068347048,6.07487983620262,6.45584050562334,0.917374761021295,0.0355968471165789,0,0.0195740079207245,0.0360110917503398
227,1.49074144755723,0.873410638447729,1.92436229460241,4.62048757745557,5.11608375096912,0.827259356368457,0.0213092702811142,0,0.0352175473937471,0.122498518910494
228,2.04806981232915,2.64034776464752,3.24867216178958,6.29974484596541,6.66390938393502,0.858862473943908,0.0194133414195847,0.000489694560460342,0.0196670623997952,0.0948050722396335
229,1.68364012232995,2.11959031840188,2.89869755808466,5.11975318475948,5.55054783610459,0.850614209055309,0.0302712587627329,0.000886819707844,0.0281119303544547,0.0744660146369778
